İSİM,SÜRE,YIL,ÜLKE,YÖNETMEN,TÜR,DİĞER İSMİ
Paris Qui Dort – Paris Uyuyor,59 Dakika,1925,Fransa,René Clair,Bilim Kurgu,The Crazy Ray
Les Compères,92 Dakika,1983,Fransa,Francis Veber,Komedi  Suç,The ComDads
Cheyenne Autumn – Baharda Hücum,154 Dakika,1964,ABD,John Ford,Dram  Tarih  Western,Cheyenne Autumn
An American Crime – Bir Amerikan Suçu,98 Dakika,2007,ABD,Tommy O'Haver,Biyografi  Dram  Korku  Suç,An American Crime
Hairspray – Saç Spreyi,117 Dakika,2007,ABD  Birleşik Krallık,Adam Shankman,Dram  Komedi  Müzik  Romantik,Hairspray
This Film Is Not Yet Rated,98 Dakika,2006,ABD  Birleşik Krallık,Kirby Dick,Belgesel,This Film Is Not Yet Rated
How the West Was Won – Batının Zaferi,164 Dakika,1962,ABD,George Marshall,Western,How the West Was Won
I Used to Be Darker,89 Dakika,2013,ABD,Matthew Porterfield,Dram  Müzik,I Used to Be Darker
The Velvet Underground,121 Dakika,2021,ABD,Todd Haynes,Belgesel  Müzik,The Velvet Underground
Hairspray,92 Dakika,1988,ABD,John Waters,Aile  Dram  Korku  Müzik  Romantik,Hairspray
Poison,85 Dakika,1991,ABD,Todd Haynes,Bilim Kurgu  Dram  Korku  Romantik,Poison
Every Brilliant Thing,62 Dakika,2016,ABD,Fenton Bailey,Belgesel,Every Brilliant Thing
You Are Forever Younger Than Them,118 Dakika,2021,Japonya,Ryûhei Yoshino,Dram,Eternally Younger Than Those Idiots
Excision – Eksizyon,81 Dakika,2012,ABD,Richard Bates Jr.,Dram  Komedi  Korku,Excision
Suburban Gothic,90 Dakika,2014,ABD,Richard Bates Jr.,Komedi  Korku,Suburban Gothic
Cecil B. DeMented,87 Dakika,2000,ABD  Fransa,John Waters,Gerilim  Komedi  Suç,Cecil B. DeMented
This Filthy World – Şu Boktan Dünya,86 Dakika,2006,ABD,Jeff Garlin,Belgesel  Biyografi  Komedi,This Filthy World
Serial Mom – Belalı Anne,95 Dakika,1994,ABD,John Waters,Gerilim  Komedi  Suç,Serial Mom
Poison Ivy: The Secret Society – Zehirli Sarmaşık 4,95 Dakika,2008,ABD  Kanada,Jason Hreno,Dram  Gerilim,Poison Ivy  The Secret Society
Poison Ivy: The New Seduction – Zehirli Sarmaşık 3,95 Dakika,1997,ABD,Kurt Voss,Dram  Gerilim,Poison Ivy  The New Seduction
Poison Ivy II – Zehirli Sarmaşık 2,106 Dakika,1996,ABD,Anne Goursaud,Dram  Gerilim,Poison Ivy 2
Poison Ivy – Zehirli Sarmaşık,93 Dakika,1992,ABD,Katt Shea,Dram  Gerilim,Poison Ivy
Lovelace,93 Dakika,2013,ABD,Jeffrey Friedman,Biyografi  Dram,Lovelace
Blank City – Boş Şehir,94 Dakika,2010,ABD,Celine Danhier,Belgesel,Blank City
Inside Deep Throat – Derin Gırtlak,89 Dakika,2005,ABD,Fenton Bailey,Belgesel  Biyografi  Tarih,Inside Deep Throat
Trees of Peace,97 Dakika,2021,ABD,Alanna Brown,Dram,Trees of Peace
Kill List – Ölüm Listesi,95 Dakika,2011,Birleşik Krallık,Ben Wheatley,Aksiyon  Gerilim  Gizem  Korku  Suç,Kill List
The Duke of Burgundy – Burgonya Dükü,104 Dakika,2014,Birleşik Krallık  Macaristan,Peter Strickland,Dram  Romantik,The Duke of Burgundy
Down Terrace – Suç Evi,93 Dakika,2009,Birleşik Krallık,Ben Wheatley,Dram  Suç,Down Terrace
Ricky Gervais: SuperNature,64 Dakika,2022,Birleşik Krallık,John L. Spencer,Komedi,Ricky Gervais  SuperNature
Mein Langsames Leben,85 Dakika,2001,Almanya,Angela Schanelec,Dram,Passing Summer
Bishtar Az Do Saat – İki Saatten Uzun,15 Dakika,2013,İran,Ali Asgari,Dram  Kısa Film,More Than Two Hours
Tonight Is Not a Good Night for Dying – Ölmek İçin İyi Bir Gece Değil,4 Dakika,2011,İran,Ali Asgari,Dram  Kısa Film,Tonight Is Not a Good Night for Dying
Disappearance – Kaybolma,89 Dakika,2017,İran  Katar,Ali Asgari,Dram,Disappearance
Chand Kilo Khorma Baraye Marassem-e Tadfin – Cenaze İçin Bir Kaç Kilo Hurma,85 Dakika,2006,İran,Saman Salur,Dram  Gerilim  Komedi,A Few Kilos of Dates for a Funeral
7 Faces of Dr. Lao – Dr. Lao’nun 7 Yüzü,100 Dakika,1964,ABD,George Pal,Fantastik  Gizem  Western,7 Faces of Dr. Lao
The Broken Hearts Gallery – Kırık Kalpler Galerisi,109 Dakika,2020,ABD,Natalie Krinsky,Komedi  Romantik,The Broken Hearts Gallery
In the Earth – Dünyada,107 Dakika,2021,Birleşik Krallık,Ben Wheatley,Bilim Kurgu  Gerilim  Gizem  Korku,In the Earth
Rebecca,123 Dakika,2020,Birleşik Krallık,Ben Wheatley,Dram  Gerilim  Gizem  Romantik,Rebecca
Invincible – Yenilmez,133 Dakika,2001,ABD  Almanya  Birleşik Krallık  İrlanda,Werner Herzog,Dram  Savaş,Invincible
Wheel of Time – Zaman Çarkı,81 Dakika,2003,Almanya  Avusturya,Werner Herzog,Belgesel,Wheel of Time
Nuovomondo – Yeni Dünya,118 Dakika,2006,Fransa  İtalya,Emanuele Crialese,Dram  Romantik  Tarih,Golden Door
The White Diamond – Beyaz Elmas,88 Dakika,2004,Afganistan  Almanya  Birleşik Krallık  Japonya,Werner Herzog,Belgesel,The White Diamond
Incident at Loch Ness,94 Dakika,2004,ABD  Birleşik Krallık,Zak Penn,Bilim Kurgu  Fantastik  Gerilim  Gizem  Komedi  Korku  Macera,Incident at Loch Ness
Encounters at the End of the World – Dünyanın Sonundaki Karşılaşmalar,99 Dakika,2007,ABD,Werner Herzog,Belgesel,Encounters at the End of the World
A Field in England – Büyülü Tarla,90 Dakika,2013,Birleşik Krallık,Ben Wheatley,Dram  Gizem  Korku  Tarih,A Field in England
Mini’s First Time,91 Dakika,2006,ABD,Nick Guthe,Dram  Komedi  Suç,Mini's First Time
Julianes Sturz in den Dschungel – Umudun Kanatları,65 Dakika,1999,Almanya  Peru,Werner Herzog,Belgesel  Biyografi  Macera  Tarih,Wings of Hope
The Grand – Binlik,104 Dakika,2007,ABD,Zak Penn,Komedi,The Grand
The Assassination of Richard Nixon – Richard Nixon’a Suikast,95 Dakika,2004,ABD,Niels Mueller,Biyografi  Dram  Gerilim  Suç  Tarih,The Assassination of Richard Nixon
The Wild Blue Yonder – Uzaklardaki Vahşi Mavilik,81 Dakika,2005,ABD  Almanya  Birleşik Krallık  Fransa,Werner Herzog,Bilim Kurgu,The Wild Blue Yonder
Tod Für Fünf Stimmen,59 Dakika,1995,Almanya,Werner Herzog,Belgesel  Biyografi  Müzik  Suç,Gesualdo  Death for Five Voices
Taeyangeun Eobda – Doğan Güneş Şehri,108 Dakika,1998,Güney Kore,Kim Sung-soo,Dram,City of the Rising Sun
Swimfan –  Ölümcül Tutku,85 Dakika,2002,ABD,John Polson,Dram  Gerilim,Swimfan
Little Dieter Needs to Fly – Küçük Dieter’in Uçma Tutkusu,80 Dakika,1997,Almanya  Birleşik Krallık  Fransa,Werner Herzog,Belgesel  Biyografi  Dram  Savaş,Little Dieter Needs to Fly
Il Generale Della Rovere – Yanlış General,132 Dakika,1959,Fransa  İtalya,Roberto Rossellini,Dram  Savaş,General Della Rovere
Scrooge,86 Dakika,1951,Birleşik Krallık,Brian Desmond Hurst,Aile  Dram  Fantastik,A Christmas Carol
Il Figlio di Zorro – Zorro’nun Oğlu,86 Dakika,1973,İspanya  İtalya,Gianfranco Baldanello,Macera  Western,The Son of Zorro
Hans Christian Andersen,112 Dakika,1952,ABD,Charles Vidor,Aile  Biyografi  Müzik  Romantik,Hans Christian Andersen
The Commitments – Gençlik Ateşi,118 Dakika,1991,ABD  Birleşik Krallık  İrlanda,Alan Parker,Dram  Komedi  Müzik,The Commitments
Purple Rain,111 Dakika,1984,ABD,Albert Magnoli,Dram  Müzik  Romantik,Purple Rain
Freier Fall – Serbest Düşüş,97 Dakika,2013,Almanya,Stephan Lacant,Dram  Romantik,Free Fall
Mikres Afrodites – Küçük Afroditler,88 Dakika,1963,Yunanistan,Nikos Koundouros,Dram  Romantik,Young Aphrodites
The Visit – Ziyaret,100 Dakika,1964,ABD  Almanya  Fransa  İtalya,Bernhard Wicki,Dram,The Visit
White Shadows in the South Seas – Beyaz Gölgeler,88 Dakika,1928,ABD,W.S. Van Dyke,Dram  Romantik,White Shadows in the South Seas
Zer,113 Dakika,2017,Türkiye,Kazım Öz,Dram,Zer
In Time – Zamana Karşı,109 Dakika,2011,ABD,Andrew Niccol,Aksiyon  Bilim Kurgu  Gerilim,In Time
L’un Reste L’autre Part,109 Dakika,2005,Fransa,Claude Berri,Dram  Komedi,One Stays the Other Leaves
Ils Se Marièrent et Eurent Beaucoup D’enfants – Ve Sonsuza Dek Mutlu Yaşadılar,100 Dakika,2004,Fransa,Yvan Attal,Dram  Komedi  Müzik,...And They Lived Happily Ever After
Humpday – Gel Porno Çevirelim,94 Dakika,2009,ABD,Lynn Shelton,Dram  Komedi  Romantik,Humpday
La Vérité – Saklı Gerçekler,106 Dakika,2019,Fransa  Japonya,Hirokazu Kore-eda,Dram,The Truth
Ace Ventura: When Nature Calls – Budala Dedektif 2,90 Dakika,1995,ABD,Steve Oedekerk,Komedi  Macera  Suç,Ace Ventura  When Nature Calls
Ace Ventura: Pet Detective – Budala Dedektif,86 Dakika,1994,ABD,Tom Shadyac,Komedi,Ace Ventura  Pet Detective
Mogambo,116 Dakika,1953,ABD,John Ford,Dram  Macera  Romantik,Mogambo
El Lugar Sin Límites,110 Dakika,1978,Meksika,Arturo Ripstein,Dram,The Place Without Limits
Fame,107 Dakika,2009,ABD,Kevin Tancharoen,Dram  Komedi  Müzik  Romantik,Fame
Diários de Otsoga – Sotsuğa Günlükleri,102 Dakika,2021,Portekiz,Maureen Fazendeiro,Dram,The Tsugua Diaries
Muna Moto – Başkasının Çocuğu,100 Dakika,1975,Kamerun,Jean-Pierre Dikongue-Pipa,Dram  Romantik,The Child of Another
Dead Pigs – Ölü Domuzlar,122 Dakika,2018,ABD  Çin,Cathy Yan,Aile  Dram  Komedi  Müzik,Dead Pigs
Ten to Chi to,125 Dakika,1990,Japonya,Haruki Kadokawa,Aksiyon  Dram  Macera  Savaş,Heaven and Earth
Fame – Şöhret,134 Dakika,1980,ABD,Alan Parker,Dram  Müzik,Fame
The Wild and the Innocent – Vahşi ve Masum,84 Dakika,1959,ABD,Jack Sher,Western,The Wild and the Innocent
Le Battement D’ailes du Papillon – Bir Kelebeğin Kanat Çırpışı,90 Dakika,2000,Fransa,Laurent Firode,Dram  Komedi  Romantik,Happenstance
Toscana – Toskana,90 Dakika,2022,Danimarka,Mehdi Avaz,Dram  Romantik,Toscana
House of Cards – İskambilden Ev,109 Dakika,1993,ABD  İtalya,Michael Lessac,Dram,House of Cards
Space Adventure Cobra,99 Dakika,1982,Japonya,Osamu Dezaki,Aksiyon  Animasyon  Bilim Kurgu  Fantastik  Romantik,Space Adventure Cobra
What Did You Do in the War Daddy? – Harpte Ne Yaptın Baba?,116 Dakika,1966,ABD,Blake Edwards,Komedi  Savaş,What Did You Do in the War Daddy?
Lost Souls – Kayıp Ruhlar,97 Dakika,2000,ABD,Janusz Kamiński,Dram  Gerilim  Korku,Lost Souls
Heavy Traffic,77 Dakika,1973,ABD,Ralph Bakshi,Animasyon  Dram  Komedi,Heavy Traffic
Musume Tsuma Haha – Kızlar Eşler ve Bir Anne,123 Dakika,1960,Japonya,Mikio Naruse,Dram,Daughters Wives and a Mother
Érase Una Vez En Euskadi,100 Dakika,2021,İspanya,Manu Gómez,Dram,Once Upon A Time In Euskadi
Detroit 9000 – Kara Bela,106 Dakika,1973,ABD,Arthur Marks,Aksiyon  Dram  Suç,Detroit 9000
L’événement – Kürtaj,100 Dakika,2021,Fransa,Audrey Diwan,Dram,Happening
Yagate Umi e To Todoku,126 Dakika,2022,Japonya,Ryutaro Nakagawa,Dram,One Day You Will Reach the Sea
Faraon – Firavun,180 Dakika,1966,Polonya,Jerzy Kawalerowicz,Dram  Macera  Tarih,Pharaoh
3000 Layla – 3000 Gece,103 Dakika,2015,Birleşik Arap Emirlikleri  Filistin  Fransa  Katar  Lübnan  Ürdün,Mai Masri,Dram,3000 Nights
Heks,82 Dakika,2020,Güney Afrika,Reine Swart,Dram  Korku,Heks
7 Men from Now – Yedi Adam Ölecek,78 Dakika,1956,ABD,Budd Boetticher,Western,7 Men from Now
Doctor Detroit,89 Dakika,1983,ABD,Michael Pressman,Komedi,Doctor Detroit
The Tall T – Cinayet Dalgası,78 Dakika,1956,ABD,Budd Boetticher,Western,The Tall T
Limbo – Araf,104 Dakika,2020,Birleşik Krallık,Ben Sharrock,Dram,Limbo
Rocco Chinnici,113 Dakika,2018,İtalya,Michele Soavi,Biyografi,Rocco Chinnici
Hustle,117 Dakika,2022,ABD,Jeremiah Zagar,Dram  Komedi  Spor,Hustle
Wet Sand,115 Dakika,2021,Gürcistan  İsviçre,Elene Naveriani,Dram,Wet Sand
Il Futuro è Donna – Gelecek Kadındır,99 Dakika,1984,Almanya  Fransa  İtalya,Marco Ferreri,Dram,The Future Is Woman
Matilda,98 Dakika,1996,ABD,Danny DeVito,Aile  Fantastik  Komedi,Matilda
O Marinheiro das Montanhas – Dağların Denizcisi,95 Dakika,2021,Almanya  Brezilya  Cezayir  Fransa,Karim Aïnouz,Belgesel  Romantik,Mariner Of The Mountains
Se Sei Vivo Spara – Altın Kurşun,100 Dakika,1967,İspanya  İtalya,Giulio Questi,Korku  Western,Django Kill... If You Live Shoot!
Dove si Spara di Più,84 Dakika,1967,İspanya  İtalya,Gianni Puccini,Western,Fury of Johnny Kid
Remorques,91 Dakika,1941,Fransa,Jean Grémillon,Aksiyon  Dram  Romantik,Remorques
Naufragio,101 Dakika,1978,Meksika,Jaime Humberto Hermosillo,Dram  Fantastik  Gizem,Naufragio
Accidental Luxuriance of the Translucent Watery Rebus,81 Dakika,2020,Hırvatistan,Dalibor Baric,Animasyon  Fantastik,Accidental Luxuriance of the Translucent Watery Rebus
Arcana,102 Dakika,1972,İtalya,Giulio Questi,Dram  Gizem  Korku,Arcana
Sycorax,20 Dakika,2021,İspanya  Portekiz,Lois Patiño,Kısa Film,Sycorax
Raising Cain – İçimizdeki Şeytan,92 Dakika,1992,ABD,Brian De Palma,Dram  Gerilim  Korku  Suç,Raising Cain
Manos Torpes,93 Dakika,1970,İspanya  İtalya,Rafael Romero Marchent,Western,Awkward Hands
Tathagat,84 Dakika,2021,Hindistan,Manav Kaul,Dram,Tathagat
Les Olympiades Paris 13e – Paris 13. Bölge,105 Dakika,2021,Fransa,Jacques Audiard,Dram  Komedi  Romantik,Paris 13th District
Il Futuro – Gelecek,94 Dakika,2013,İtalya,Alicia Scherson,Dram,The Future
The Company – Kumpanya,112 Dakika,2003,ABD  Almanya  Birleşik Krallık,Robert Altman,Dram  Müzik  Romantik,The Company
Robin Williams: Come Inside My Mind,117 Dakika,2018,ABD,Marina Zenovich,Belgesel  Biyografi  Komedi,Robin Williams  Come Inside My Mind
A Prairie Home Companion – Kır Evi Arkadaşı,105 Dakika,2006,ABD,Robert Altman,Dram  Komedi  Müzik  Romantik  Western,A Prairie Home Companion
Z Channel: A Magnificent Obsession – Kanal Z,120 Dakika,2004,ABD,Xan Cassavetes,Belgesel  Biyografi  Tarih,Z Channel
The Gingerbread Man – Kaybetme Zamanı,114 Dakika,1998,ABD,Robert Altman,Gerilim  Gizem  Suç,The Gingerbread Man
L’homme Orchestre – Yirmi Melek İki Bebek,85 Dakika,1970,Fransa,Serge Korber,Komedi  Müzik,L'homme Orchestre
La Folie Des Grandeurs – Büyük Soytarı,108 Dakika,1971,Almanya  Fransa  İspanya  İtalya,Gérard Oury,Komedi  Macera  Tarih,Delusions of Grandeur
Chûgoku No Chôjin – Çin’in Kuş İnsanları,118 Dakika,1998,Japonya,Takashi Miike,Dram  Fantastik  Komedi  Macera,The Bird People in China
Le Petit Baigneur – Plaj Hovardası,96 Dakika,1968,Fransa  İtalya,Robert Dhéry,Komedi,The Little Bather
Hibernatus – Karımın Dedesi,82 Dakika,1969,Fransa  İtalya,Édouard Molinaro,Bilim Kurgu  Fantastik  Komedi,Hibernatus
Il Peccato – Günah,134 Dakika,2019,İtalya  Rusya,Andrei Konchalovsky,Biyografi  Dram  Tarih,Sin
Sur Un Arbre Perché – Daldaki Otomobil,90 Dakika,1971,Fransa,Serge Korber,Komedi,Sur Un Arbre Perché
Cadillac Records – Aşkın Müziği,109 Dakika,2008,ABD,Darnell Martin,Biyografi  Dram  Müzik,Cadillac Records
La Zizanie – Çılgın Hayat,97 Dakika,1978,Fransa,Claude Zidi,Komedi,The Spat
Les Aventures de Rabbi Jacob – Papaz Kaçtı,100 Dakika,1973,Fransa  İtalya,Gérard Oury,Komedi  Macera,The Mad Adventures of Rabbi Jacob
La Soupe Aux Choux – Lahana Çorbası,98 Dakika,1981,Fransa,Jean Girault,Bilim Kurgu  Dram  Komedi,The Cabbage Soup
The Whistleblower – Muhbir,112 Dakika,2010,Almanya  Kanada,Larysa Kondracki,Biyografi  Dram  Suç,The Whistleblower
L’avare – Cimri,125 Dakika,1980,Fransa,Jean Girault,Komedi,The Miser
Lovesong – Aşk Şarkısı,84 Dakika,2016,ABD,So Yong Kim,Dram  Romantik,Lovesong
On the Ice – Buzlar Üzerinde,96 Dakika,2011,ABD,Andrew Okpeaha MacLean,Dram  Gerilim,On the Ice
Sikumi,15 Dakika,2008,ABD,Andrew Okpeaha MacLean,Dram  Kısa Film,On the Ice
I Am Dina – Dina – Lanetli Kadın,125 Dakika,2002,Almanya  Danimarka  Fransa  İsveç  Norveç,Ole Bornedal,Dram,I Am Dina
The Baby of Mâcon – Macon Bebeği,122 Dakika,1993,Almanya  Belçika  Birleşik Krallık  Fransa  Hollanda,Peter Greenaway,Dram  Tarih,The Baby of Mâcon
Kursk,117 Dakika,2018,Belçika  Fransa  Lüksemburg,Thomas Vinterberg,Aksiyon  Dram  Gerilim  Macera  Tarih,Kursk
Scissors – Makas,105 Dakika,1991,ABD,Frank De Felitta,Gerilim  Korku,Scissors
Elias og Kongeskipet – Sevimli Gemi,76 Dakika,2007,Norveç,Lise Osvoll,Aile  Animasyon,Elias and the Royal Yacht
Mun Mot Mun,94 Dakika,2005,İsveç,Björn Runge,Dram,Mouth to Mouth
La Belle Américaine – Amerikan Güzeli,104 Dakika,1961,Fransa,Robert Dhéry,Komedi,The American Beauty
Seizoku: Sex Jack,70 Dakika,1970,Japonya,Kōji Wakamatsu,Dram,Sex Jack
Det Enda Rationella – Makul Çözüm,98 Dakika,2009,Almanya  İsveç,Jörgen Bergmark,Dram,A Rational Solution
Hamilton: Men inte Om Det Gäller Din Dotter – Hamilton II,90 Dakika,2012,İsveç,Tobias Falk,Aksiyon  Dram  Gerilim,Agent Hamilton  But Not If It Concerns Your Daughter
Hamilton: I Nationens intresse – Ajan Hamilton,109 Dakika,2012,İsveç,Kathrine Windfeld,Aksiyon  Dram  Gerilim,Hamilton  In the Interest of the Nation
The Quick and the Dead – Hızlı ve Ölü,108 Dakika,1995,ABD  Japonya,Sam Raimi,Aksiyon  Gerilim  Romantik  Western,The Quick and the Dead
The Bachelor and the Bobby-Soxer,95 Dakika,1947,ABD,Irving Reis,Komedi  Romantik,The Bachelor and the Bobby-Soxer
Antoine et Antoinette,78 Dakika,1947,Fransa,Jacques Becker,Dram  Komedi,Antoine et Antoinette
La Traversée de Paris – Paris Yolculuğu,80 Dakika,1956,Fransa  İtalya,Claude Autant-Lara,Dram,Four Bags Full
Ah! Les Belles Bacchantes….,95 Dakika,1954,Fransa  İtalya,Jean Loubignac,Komedi  Müzik,Ah! The Beautiful Priestesses of Bacchus
Comme Un Cheveu Sur La Soupe,79 Dakika,1957,Fransa,Maurice Régamey,Komedi,Like a Hair in the Soup
Il Pleuvait Des Oiseaux,127 Dakika,2019,Kanada,Louise Archambault,Dram,And the Birds Rained Down
King Solomon’s Mines,100 Dakika,1985,ABD,J. Lee Thompson,Aksiyon  Komedi  Macera  Romantik,King Solomon's Mines
Once Upon a Time in… Hollywood – Bir Zamanlar… Hollywood’da,161 Dakika,2019,ABD  Birleşik Krallık  Çin,Quentin Tarantino,Dram  Komedi,Once Upon a Time in... Hollywood
7 Uomini D’oro – 7 Altın Adam,95 Dakika,1965,Fransa  İspanya  İtalya,Marco Vicario,Dram  Suç,Seven Golden Men
Allan Quatermain and the Lost City of Gold – Allan Quatermain ve Kayıp Şehir,99 Dakika,1986,ABD,Gary Nelson,Aksiyon  Komedi  Macera,Allan Quatermain and the Lost City of Gold
The Specialist – Uzman,110 Dakika,1994,ABD  Peru,Luis Llosa,Aksiyon  Dram  Gerilim,The Specialist
Sliver,107 Dakika,1993,ABD,Phillip Noyce,Dram  Gerilim,Sliver
Beverly Hills Cop III – Sosyete Polisi 3,104 Dakika,1994,ABD,John Landis,Aksiyon  Gerilim  Komedi  Suç,Beverly Hills Cop III
Beverly Hills Cop II – Sosyete Polisi 2,100 Dakika,1987,ABD,Tony Scott,Aksiyon  Gerilim  Komedi  Suç,Beverly Hills Cop II
Beverly Hills Cop – Sosyete Polisi,105 Dakika,1984,ABD,Martin Brest,Aksiyon  Gerilim  Komedi  Suç,Beverly Hills Cop
Above the Law – Kanunun Üstünde,99 Dakika,1988,ABD  Hong Kong,Andrew Davis,Aksiyon  Dram  Gerilim  Gizem  Suç,Above the Law
Year of the Gun – Şiddet Yılı,111 Dakika,1991,ABD,John Frankenheimer,Aksiyon  Gerilim  Romantik,Year of the Gun
Last Action Hero – Son Kahraman,130 Dakika,1993,ABD,John McTiernan,Aksiyon  Fantastik  Komedi  Macera,Last Action Hero
Intersection – Kesişme,98 Dakika,1994,ABD,Mark Rydell,Dram  Romantik,Intersection
Samouni Road – Samouni’lerin Yolu,128 Dakika,2018,Fransa  İtalya,Stefano Savona,Animasyon  Belgesel,Samouni Road
Nihon No ichiban Nagai Hi – Japonya’nın En Uzun Günü,157 Dakika,1967,Japonya,Kihachi Okamoto,Dram  Savaş  Tarih,Japan's Longest Day
Devdas,185 Dakika,2002,Hindistan,Sanjay Leela Bhansali,Dram  Müzik  Romantik,Devdas
Sallah Shabati,110 Dakika,1964,İsrail,Ephraim Kishon,Dram  Komedi,Sallah Shabati
Miyamoto Musashi Kanketsuhen: Kettô Ganryûjima,105 Dakika,1956,Japonya,Hiroshi Inagaki,Aksiyon  Dram  Macera  Romantik,Samurai III  Duel at Ganryu Island
Zoku Miyamoto Musashi: Ichijôji no Kettô,104 Dakika,1955,Japonya,Hiroshi Inagaki,Aksiyon  Biyografi  Dram  Macera  Tarih,Samurai II  Duel at Ichijoji Temple
Miyamoto Musashi,93 Dakika,1954,Japonya,Hiroshi Inagaki,Aksiyon  Biyografi  Dram  Macera  Romantik  Tarih,Samurai I  Musashi Miyamoto
Vip Mio Fratello Superuomo,82 Dakika,1968,İtalya,Bruno Bozzetto,Animasyon  Komedi,The SuperVips
Joyeuses Pâques – Maceralı Tatil,98 Dakika,1984,Fransa,Georges Lautner,Komedi,Happy Easter
Teknolust – Tekno Aşk,85 Dakika,2002,ABD  Almanya  Birleşik Krallık,Lynn Hershman-Leeson,Bilim Kurgu  Dram  Komedi  Romantik,Teknolust
Hibiki: Shôsetsuka ni Naru Hôhô,105 Dakika,2018,Japonya,Shô Tsukikawa,Dram,Hibiki
Le Daim – Deri Ceket,77 Dakika,2019,Belçika  Fransa  İsviçre,Quentin Dupieux,Komedi  Korku,Deerskin
The Legend of Bagger Vance – Bagger Vance Efsanesi,126 Dakika,2000,ABD,Robert Redford,Dram  Fantastik  Spor,The Legend of Bagger Vance
Beethoven’s 2nd – Afacan Köpek Beethoven 2,89 Dakika,1993,ABD,Rod Daniel,Aile  Komedi  Romantik,Beethoven's 2nd
Beethoven – Afacan Köpek Beethoven,87 Dakika,1992,ABD,Brian Levant,Aile  Dram  Komedi,Beethoven
Playing Men – Oyunbaz Erkekler,60 Dakika,2017,Hırvatistan  Slovenya,Matjaž Ivanišin,Belgesel,Playing Men
Große Freiheit – Büyük Özgürlük,116 Dakika,2021,Almanya  Avusturya,Sebastian Meise,Dram,Great Freedom
Border Incident,94 Dakika,1949,ABD,Anthony Mann,Dram  Gerilim  Kara Film  Suç,Border Incident
Come Perdere Una Moglie e Trovare Un’amante,104 Dakika,1978,İtalya,Pasquale Festa Campanile,Komedi,How to Lose a Wife and Find a Lover
In a World… – Bir Dünya Ki…,93 Dakika,2013,ABD  Birleşik Krallık,Lake Bell,Komedi,In a World...
The Haunted Palace – Perili Köşk,87 Dakika,1963,ABD,Roger Corman,Korku,The Haunted Palace
Josie Jane: Kill the Babysitter – Bebek Bakıcısı Ölmeli,76 Dakika,2020,ABD,Kohl Glass,Gerilim  Korku,Babysitter Must Die
Office Killer,82 Dakika,1997,ABD,Cindy Sherman,Gerilim  Komedi  Korku  Suç,Office Killer
Yûkoku,30 Dakika,1966,Japonya,Yukio Mishima,Dram  Kısa Film,Patriotism
No Time to Die – Ölmek İçin Zaman Yok,163 Dakika,2021,ABD  Birleşik Krallık,Cary Joji Fukunaga,Aksiyon  Gerilim  Macera,No Time to Die
Spectre,148 Dakika,2015,ABD  Birleşik Krallık,Sam Mendes,Aksiyon  Gerilim  Macera,Spectre
Skyfall,143 Dakika,2012,ABD  Birleşik Krallık,Sam Mendes,Aksiyon  Gerilim  Macera,Skyfall
